436,4
434,3
433,4
430,5
429,1
428,1
427,1
422,4
420,1
419,3
418,1
416,1
415,2
414,1
412,1
411,5
406,1
404,4
402,1
401,1
400,3
398,1
397,2
396,3
394,1
389,3
387,1
385,1
384,1
382,2
381,1
379,1
378,1
377,2
376,1
372,1
367,3
366,1
365,1
364,1
360,1
359,1
357,1
356,1
354,2
352,1
351,5
348,1
347,5
345,1
342,1
341,1
340,1
339,5
336,1
334,1
333,1
331,1
330,4
328,3
326,1
324,3
323,1
322,2
319,1
318,1
316,1
315,1
314,1
313,1
311,3
309,1
307,1
306,2
305,1
304,4
301,1
300,1
297,2
296,3
295,1
293,2
292,1
289,1
287,1
286,3
285,1
283,1
281,4
280,1
278,1
275,1
274,3
273,1
272,1
271,1
267,1
265,1
263,1
262,1
261,1
258,1
256,1
255,1
252,1
251,1
249,1
248,1
244,1
243,1
242,1
241,1
239,1
238,1
234,1
231,1
226,1
223,1
212,1
211,1
205,1
200,1
199,1
198,1
195,1
194,1
191,1
189,1
186,3
184,1
183,1
182,1
181,4
177,1
169,1
167,1
163,1
158,1
157,1
156,2
155,1
154,1
153,1
152,1
151,1
150,1
149,1
148,3
147,2
146,1
145,3
144,1
143,4
142,1
141,1
140,2
139,1
138,3
137,1
136,2
135,1
130,1
128,1
127,1
126,1
124,1
123,1
122,1
120,1
119,1
117,1
115,1
113,1
111,1
109,1
108,1
102,1
101,1
100,4
96,1
92,5
87,1
84,4
82,3
78,1
77,1
76,1
75,2
64,1
52,2
51,2
50,3
49,1
48,1
47,2
46,1
45,3
44,1
43,3
42,1
41,1
40,2
38,1
36,1
34,5
33,1
31,2
29,5
